code,parent_code,name,level,description,indication,smiles,drugbank_id
A14B,A14,OTHER ANABOLIC AGENTS in ATC,3.0,,,,
A16A,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,3.0,,,,
B01A,B01,ANTITHROMBOTIC AGENTS,3.0,,,,
B02A,B02,ANTIFIBRINOLYTICS,3.0,,,,
B02B,B02,VITAMIN K AND OTHER HEMOSTATICS,3.0,,,,
B03A,B03,IRON ANTIANEMIC PREPARATIONS,3.0,,,,
B03B,B03,VITAMIN B<n>12</n> AND FOLIC ACID,3.0,,,,
B03X,B03,OTHER ANTIANEMIC PREPARATIONS in ATC,3.0,,,,
B05A,B05,BLOOD AND RELATED PRODUCTS,3.0,,,,
B05B,B05,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients",3.0,,,,
B05C,B05,"IRRIGATING SOLUTIONS, BLOOD SUBSTITUTES AND PERFUSION",3.0,,,,
B05D,B05,PERITONEAL DIALYTICS,3.0,,,,
B05X,B05,I.V. SOLUTION ADDITIVES,3.0,,,,
B05Z,B05,HEMODIALYTICS AND HEMOFILTRATES,3.0,,,,
B06A,B06,OTHER HEMATOLOGICAL AGENTS in ATC,3.0,,,,
C01A,C01,CARDIAC GLYCOSIDES,3.0,,,,
C01B,C01,"ANTIARRHYTHMICS, CLASS I AND III",3.0,,,,
C01C,C01,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,3.0,,,,
C01D,C01,VASODILATORS USED IN CARDIAC DISEASES,3.0,,,,
C01E,C01,OTHER CARDIAC PREPARATIONS in ATC,3.0,,,,
C02A,C02,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",3.0,,,,
C02B,C02,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",3.0,,,,
C02C,C02,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",3.0,,,,
C02D,C02,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",3.0,,,,
C02K,C02,OTHER ANTIHYPERTENSIVES in ATC,3.0,,,,
C02L,C02,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,3.0,,,,
C02N,C02,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,3.0,,,,
C03A,C03,"LOW-CEILING DIURETICS, THIAZIDES",3.0,,,,
C03B,C03,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",3.0,,,,
C03C,C03,HIGH-CEILING DIURETICS,3.0,,,,
C03D,C03,POTASSIUM-SPARING DIURETICS,3.0,,,,
C03E,C03,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,3.0,,,,
C03X,C03,OTHER DIURETICS in ATC,3.0,,,,
C04A,C04,PERIPHERAL VASODILATORS,3.0,,,,
C05A,C05,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,3.0,,,,
C05B,C05,ANTIVARICOSE THERAPY DRUGS,3.0,,,,
C05C,C05,CAPILLARY STABILIZING AGENTS,3.0,,,,
C07A,C07,BETA BLOCKING AGENTS,3.0,,,,
C07B,C07,BETA BLOCKING AGENTS AND THIAZIDES,3.0,,,,
C07C,C07,BETA BLOCKING AGENTS AND OTHER DIURETICS,3.0,,,,
C07D,C07,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",3.0,,,,
C07E,C07,BETA BLOCKING AGENTS AND VASODILATORS,3.0,,,,
C07F,C07,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",3.0,,,,
C08C,C08,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,3.0,,,,
C08D,C08,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,3.0,,,,
C08E,C08,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,3.0,,,,
C08G,C08,CALCIUM CHANNEL BLOCKERS AND DIURETICS,3.0,,,,
C09A,C09,"ACE INHIBITORS, PLAIN",3.0,,,,
C09B,C09,"ACE INHIBITORS, COMBINATIONS",3.0,,,,
C09C,C09,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",3.0,,,,
C09D,C09,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",3.0,,,,
C09X,C09,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,3.0,,,,
C10A,C10,"LIPID MODIFYING AGENTS, PLAIN",3.0,,,,
C10B,C10,"LIPID MODIFYING AGENTS, COMBINATIONS",3.0,,,,
D01A,D01,ANTIFUNGALS FOR TOPICAL USE,3.0,,,,
D01B,D01,ANTIFUNGALS FOR SYSTEMIC USE,3.0,,,,
D02A,D02,EMOLLIENTS AND PROTECTIVES,3.0,,,,
D02B,D02,PROTECTIVES AGAINST UV-RADIATION,3.0,,,,
D03A,D03,CICATRIZANTS,3.0,,,,
D03B,D03,ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS,3.0,,,,
D04A,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",3.0,,,,
D05A,D05,ANTIPSORIATICS FOR TOPICAL USE,3.0,,,,
D05B,D05,ANTIPSORIATICS FOR SYSTEMIC USE,3.0,,,,
D06A,D06,ANTIBIOTICS FOR TOPICAL USE,3.0,,,,
D06B,D06,CHEMOTHERAPEUTICS FOR TOPICAL USE,3.0,,,,
D06C,D06,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",3.0,,,,
D07A,D07,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN",3.0,,,,
D07B,D07,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",3.0,,,,
D07C,D07,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",3.0,,,,
D07X,D07,"CORTICOSTEROIDS, OTHER COMBINATIONS",3.0,,,,
D08A,D08,ANTISEPTICS AND DISINFECTANTS,3.0,,,,
D09A,D09,MEDICATED DRESSINGS,3.0,,,,
D10A,D10,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,3.0,,,,
D10B,D10,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,3.0,,,,
D11A,D11,OTHER DERMATOLOGICAL PREPARATIONS in ATC,3.0,,,,
G01A,G01,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",3.0,,,,
G01B,G01,ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,3.0,,,,
G02A,G02,UTEROTONICS,3.0,,,,
G02B,G02,CONTRACEPTIVES FOR TOPICAL USE,3.0,,,,
G02C,G02,OTHER GYNECOLOGICALS in ATC,3.0,,,,
G03A,G03,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,3.0,,,,
G03B,G03,ANDROGENS,3.0,,,,
G03C,G03,"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",3.0,,,,
G03D,G03,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,3.0,,,,
G03E,G03,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,3.0,,,,
G03F,G03,PROGESTOGENS AND ESTROGENS IN COMBINATION,3.0,,,,
G03G,G03,GONADOTROPINS AND OTHER OVULATION STIMULANTS,3.0,,,,
G03H,G03,ANTIANDROGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,3.0,,,,
G03X,G03,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC,3.0,,,,
G04B,G04,UROLOGICALS,3.0,,,,
G04C,G04,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,3.0,,,,
H01A,H01,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,3.0,,,,
H01B,H01,POSTERIOR PITUITARY LOBE HORMONES,3.0,,,,
H01C,H01,HYPOTHALAMIC HORMONES,3.0,,,,
H02A,H02,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",3.0,,,,
H02B,H02,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",3.0,,,,
H02C,H02,ANTIADRENAL PREPARATIONS,3.0,,,,
H03A,H03,THYROID PREPARATIONS,3.0,,,,
H03B,H03,ANTITHYROID PREPARATIONS,3.0,,,,
H03C,H03,IODINE THERAPY DRUGS,3.0,,,,
H04A,H04,GLYCOGENOLYTIC HORMONES,3.0,,,,
H05A,H05,PARATHYROID HORMONES AND ANALOGUES,3.0,,,,
H05B,H05,ANTI-PARATHYROID AGENTS,3.0,,,,
J01A,J01,Tetracycline antibiotics,3.0,,,,
J01B,J01,AMPHENICOLS,3.0,,,,
J01C,J01,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",3.0,,,,
J01D,J01,OTHER BETA-LACTAM ANTIBACTERIALS in ATC,3.0,,,,
J01E,J01,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE,3.0,,,,
J01F,J01,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",3.0,,,,
J01G,J01,AMINOGLYCOSIDE ANTIBACTERIALS,3.0,,,,
J01M,J01,QUINOLONE ANTIBACTERIALS,3.0,,,,
J01R,J01,COMBINATIONS OF ANTIBACTERIALS,3.0,,,,
J01X,J01,OTHER ANTIBACTERIALS in ATC,3.0,,,,
J02A,J02,ANTIMYCOTICS FOR SYSTEMIC USE,3.0,,,,
J04A,J04,DRUGS FOR TREATMENT OF TUBERCULOSIS,3.0,,,,
J04B,J04,DRUGS FOR TREATMENT OF LEPRA,3.0,,,,
J05A,J05,DIRECT ACTING ANTIVIRALS,3.0,,,,
J06A,J06,IMMUNE SERA SYSTEMIC ANTIINFECTIVES,3.0,,,,
J06B,J06,IMMUNOGLOBULINS,3.0,,,,
J07A,J07,BACTERIAL VACCINES,3.0,,,,
J07B,J07,VIRAL VACCINES,3.0,,,,
J07C,J07,"BACTERIAL AND VIRAL VACCINES, COMBINED",3.0,,,,
J07X,J07,OTHER VACCINES in ATC,3.0,,,,
L01A,L01,ALKYLATING AGENTS,3.0,,,,
L01B,L01,ANTIMETABOLITES,3.0,,,,
L01C,L01,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS",3.0,,,,
L01D,L01,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,3.0,,,,
L01E,L01,"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS",3.0,,,,
